GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1257.graphml,3888,19440,2420,363,2500,2137,0.155, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_126.graphml,0,0,0,25000,25000,0,0.0408,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1260.graphml,24,204,7141,38,2500,2462,1.0746, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1264.graphml,124,159,451,511,2500,1989,0.1679, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1267.graphml,90,90,178,1029,2500,1471,0.0856, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_127.graphml,0,0,0,25000,25000,0,0.0258,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1271.graphml,8,85,437,382,5000,4618,0.0712, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1272.graphml,0,19,148,751,5000,4249,0.0682, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1276.graphml,144,186,689,3090,5000,1910,0.1219, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1277.graphml,0,19,148,751,5000,4249,0.0546, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1278.graphml,840,1684,176,1871,5000,3129,0.0648, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1279.graphml,0,4,2112,-3718,5000,8718,2.4777, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_128.graphml,0,0,0,25000,25000,0,0.0414,*
