GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_126.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1260.graphml,12,168,2376,38,2500,2462,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1264.graphml,31,63,85,13,2500,2487,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1267.graphml,18,18,18,173,2500,2327,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_127.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1271.graphml,4,84,185,382,5000,4618,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1272.graphml,0,18,0,751,5000,4249,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1276.graphml,36,72,57,1049,5000,3951,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1277.graphml,0,18,0,751,5000,4249,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1278.graphml,420,1264,96,869,5000,4131,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1279.graphml,0,2,2112,20,5000,4980,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_128.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1280.graphml,0,2,2112,20,5000,4980,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1281.graphml,10,75,83,61,2500,2439,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1282.graphml,10,45,50,61,2500,2439,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1283.graphml,0,1,0,161,2500,2339,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1284.graphml,0,1,0,161,2500,2339,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1285.graphml,32,116,0,578,5000,4422,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1286.graphml,1,85,6,125,5000,4875,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1287.graphml,1,85,6,125,5000,4875,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1288.graphml,7,15,97,26,5000,4974,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1289.graphml,7,15,97,26,5000,4974,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_129.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1290.graphml,0,58,0,2167,5000,2833,0,**
